school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Annandale Elementary,Los Angeles Unified,2015-16,292,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015838,Los Angeles
Apperson Street Elementary,Los Angeles Unified,2015-16,418,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015846,Los Angeles
Aragon Avenue Elementary,Los Angeles Unified,2015-16,354,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015853,Los Angeles
Arlington Heights Elementary,Los Angeles Unified,2015-16,493,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015861,Los Angeles
Arminta Street Elementary,Los Angeles Unified,2015-16,450,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015879,Los Angeles
Ascot Avenue Elementary,Los Angeles Unified,2015-16,867,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015887,Los Angeles
Atwater Avenue Elementary,Los Angeles Unified,2015-16,309,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015895,Los Angeles
Avalon Gardens Elementary,Los Angeles Unified,2015-16,254,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015903,Los Angeles
Baldwin Hills Elementary,Los Angeles Unified,2015-16,404,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015929,Los Angeles
Bandini Street Elementary,Los Angeles Unified,2015-16,373,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015945,Los Angeles
Barton Hill Elementary,Los Angeles Unified,2015-16,697,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015952,Los Angeles
Bassett Street Elementary,Los Angeles Unified,2015-16,880,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015960,Los Angeles
Beachy Avenue Elementary,Los Angeles Unified,2015-16,584,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015978,Los Angeles
Beckford Charter for Enriched Studies,Los Angeles Unified,2015-16,615,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015986,Los Angeles
Beethoven Street Elementary,Los Angeles Unified,2015-16,334,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336015994,Los Angeles
Belvedere Elementary,Los Angeles Unified,2015-16,785,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016018,Los Angeles
Bertrand Avenue Elementary,Los Angeles Unified,2015-16,422,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016026,Los Angeles
Blythe Street Elementary,Los Angeles Unified,2015-16,483,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016034,Los Angeles
Bonita Street Elementary,Los Angeles Unified,2015-16,552,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016042,Los Angeles
Braddock Drive Elementary,Los Angeles Unified,2015-16,387,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016059,Los Angeles
Brainard Elementary,Los Angeles Unified,2015-16,186,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016067,Los Angeles
Breed Street Elementary,Los Angeles Unified,2015-16,413,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016075,Los Angeles
Brentwood Science,Los Angeles Unified,2015-16,897,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016083,Los Angeles
Bridge Street Elementary,Los Angeles Unified,2015-16,253,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016091,Los Angeles
Broad Avenue Elementary,Los Angeles Unified,2015-16,692,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016109,Los Angeles
Broadacres Avenue Elementary,Los Angeles Unified,2015-16,308,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016117,Los Angeles
Broadway Elementary,Los Angeles Unified,2015-16,601,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016125,Los Angeles
Brockton Avenue Elementary,Los Angeles Unified,2015-16,222,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016133,Los Angeles
Brooklyn Avenue Elementary,Los Angeles Unified,2015-16,651,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016141,Los Angeles
Bryson Avenue Elementary,Los Angeles Unified,2015-16,837,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016158,Los Angeles
Buchanan Street Elementary,Los Angeles Unified,2015-16,487,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016166,Los Angeles
Budlong Avenue Elementary,Los Angeles Unified,2015-16,872,Student Safety,Threat of Violence,District-wide closure. The Los Angeles Unified School District received an e-mail threat against students at district schools.,"December 15, 2015",2015,1,19647336016174,Los Angeles
